code,ai_can_execute,ai_commands,ai_packages_needed,ai_logs_output,risk,remark
Wistron-BIOS-00149-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 0""",dmidecode,"return FULL raw `dmidecode -t 0` output (all Type 0 fields incl Vendor / BIOS Version / Release Date) + a one-line `dmidecode -s bios-vendor` summary, so the user can diff directly. Pass/Fail judged by user (vendor correct + persists after reboot).",,
Wistron-BMC-00293-V002,NO,"-- not runnable: procedure and criteria are marked TBD in the test case library; cannot derive a safe command. Please update the test case library to specify the exact BMC Global Enable bits to set, the expected end-state, and how to verify, then re-review.",none (awaiting spec),none (no executable step yet; define after library is updated),,
Wistron-NV GPU-00316-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""nvsm show alerts 2>&1""","NVSM (NVIDIA System Management, must install)",return FULL `nvsm show alerts` output (all subsystem warning/critical alerts list) for user to confirm all alerts are expected. No RISK (read-only).,,
Wistron-HW-00001-V006,NO,"-- not runnable by agent: physical/visual inspection of component seating accuracy requires a person physically present at the machine; evidence via photos/blackbox capture, which the agent cannot produce over SSH.",none,operator takes photos + records blackbox status to files; agent cannot produce this evidence over SSH.,RISK: component seat accuracy is a physical/visual check - human only; agent must not attempt.,
Wistron-Performance CPU-00001-V003,PARTIAL,"-- requires setup first: install licensed SPECcpu2017 archive (user-provided, license-restricted) plus the matching intel|amd binary build and its config/config json files on the DUT; this is not a one-line command. After those are in place, discuss the exact build/run steps with the user before executing the benchmark.","SPECcpu2017 (licensed, user provides archive+binary), build-essential gcc gfortran","after setup, return build output + runspectest ESTIMATE/RESULT score; final score judged by user vs comparable CPUs.",RISK: SPEC cpu2017 is license-restricted and long-running; user must provide the licensed archive/platform binary/config; scores judged by user.,
Wistron-BIOS-00006-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 0 2>/dev/null | grep -i -m1 \""SMBIOS\""""",dmidecode,return the dmidecode SMBIOS version header line verbatim; user checks SMBIOS version matches spec and persists after reboot.,,same code in 2 workbook rows (multi-row code)
Wistron-BIOS-00007-V003,NO,-- not runnable by agent over SSH: UEFI Shell version requires booting into the UEFI shell (Pre-OS environment); needs a person / console at the machine.,"none (Pre-OS UEFI shell, human at console)",human reads `ver` in UEFI shell at boot; agent cannot access Pre-OS over SSH.,,same code in 2 workbook rows (multi-row code)
Wistron-BIOS-00008-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 0 2>/dev/null | grep -iA1 \""BIOS Information\""""",dmidecode,"return FULL raw `dmidecode -t 0` output filtered to the `BIOS Information` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,same code in 2 workbook rows (multi-row code)
Wistron-BIOS-00009-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 1 2>/dev/null | grep -iA1 \""System Information\""""",dmidecode,"return FULL raw `dmidecode -t 1` output filtered to the `System Information` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,same code in 2 workbook rows (multi-row code)
Wistron-BIOS-00022-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 42 2>/dev/null | grep -iA1 \""Management Controller Host Interface\""""",dmidecode,"return FULL raw `dmidecode -t 42` output filtered to the `Management Controller Host Interface` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,same code in 2 workbook rows (multi-row code)
